ObservationDate,Country_Region,Province_State,Confirmed,Deaths,Recovered,Active
2020-01-23,Australia,NA,0,0,0,0
2020-01-25,Australia,NA,4,0,0,0
2020-01-26,Australia,NA,4,0,0,0
2020-01-27,Australia,New South Wales,4,0,0,0
2020-01-27,Australia,Victoria,1,0,0,0
2020-01-28,Australia,New South Wales,4,0,0,0
2020-01-28,Australia,Victoria,1,0,0,0
2020-01-29,Australia,New South Wales,4,0,0,0
2020-01-29,Australia,Victoria,1,0,0,0
2020-01-30,Australia,New South Wales,4,0,2,0
2020-01-30,Australia,Victoria,2,0,0,0
2020-01-30,Australia,Queensland,3,0,0,0
2020-01-31,Australia,New South Wales,4,0,2,0
2020-01-31,Australia,Victoria,3,0,0,0
2020-01-31,Australia,Queensland,2,0,0,0
2020-02-01,Australia,New South Wales,4,0,2,2
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,Queensland,3,0,0,3
2020-02-01,Australia,South Australia,1,0,0,1
2020-02-01,Australia,New South Wales,4,0,2,2
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,New South Wales,4,0,2,2
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,New South Wales,4,0,2,2
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,New South Wales,4,0,2,2
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-01,Australia,Victoria,4,0,0,4
2020-02-02,Australia,Queensland,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,Queensland,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-02,Australia,South Australia,2,0,0,2
2020-02-04,Australia,Queensland,3,0,0,3
2020-02-04,Australia,Queensland,3,0,0,3
2020-02-06,Australia,New South Wales,4,0,2,2
2020-02-06,Australia,Queensland,4,0,0,4
2020-02-06,Australia,New South Wales,4,0,2,2
2020-02-06,Australia,New South Wales,4,0,2,2
2020-02-06,Australia,New South Wales,4,0,2,2
